Cat1,AvgS1,M1,Co1,Cat2,AvgS2,M2,Co2,Cat3,AvgS3,M3,Co3,Cat4,AvgS4,M4,Co4,NumDeg,NumCertf,NumJobs,AverageMonths
Management,89003.44444,7,1,Management,89003.44444,20,1,Management,79819.50204,28,1,Management,79819.50204,64,1,2,1,4,29.75
Management,89003.44444,14,1,HR,89003.44444,15,1,Management,79819.50204,62,1,Other,53085.31717,9,1,3,3,4,25
Management,89003.44444,47,0,HR,51182.90816,15,1,Finance,60991.45474,104,1,Unemployed,0,0,0,1,1,3,41.5
Management,89003.44444,14,1,HR,51182.90816,19,1,HR,51182.90816,17,1,Executive,326069,5,1,1,1,4,13.75
IT,66907.90991,100,1,Sales,47142.92286,87,0,Admin,51794.60833,33,0,Other,68304,44,0,3,3,4,66
IT,66907.90991,6,1,Sales,66907.90991,7,1,Management,79819.50204,17,1,Management,55261.33333,11,1,3,3,4,10.25
IT,66907.90991,8,1,Sales,66907.90991,44,1,Sales,47142.92286,18,1,Other,53085.31717,59,1,3,3,4,32.25
Sales,66907.90991,15,1,Other,53085.31717,15,1,Management,79819.50204,14,1,Executive,123893.3069,16,1,2,3,4,15
Sales,66907.90991,15,1,Other,53085.31717,15,1,Management,79819.50204,14,1,Executive,123893.3069,16,1,2,3,4,15
IT,66907.90991,8,1,Sales,47142.92286,3,1,Executive,123893.3069,12,0,Other,53085.31717,3,1,3,3,4,6.5
IT,66907.90991,12,1,Sales,66907.90991,10,1,Sales,47142.92286,30,1,Sales,36842,9,0,3,3,4,15.25
IT,66907.90991,43,0,Sales,47142.92286,68,1,Marketing,50436.77654,3,1,Other,53085.31717,3,1,3,3,4,29.25
Sales,66907.90991,10,1,HR,51182.90816,21,1,HR,51182.90816,21,1,HR,51182.90816,49,0,3,1,4,25.25
IT,66907.90991,1,1,Marketing,50436.77654,5,1,Marketing,50436.77654,4,1,Marketing,43688.73333,12,0,1,1,4,5.5
IT,66907.90991,93,0,Sales,47142.92286,64,0,Executive,123893.3069,58,0,Unemployed,0,0,0,3,3,3,53.75
Sales,66907.90991,45,0,Sales,47142.92286,10,0,Sales,47142.92286,17,0,IT,69783.6369,65,0,3,3,4,34.25
Sales,60877.01504,95,1,Other,53085.31717,49,0,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,36
Sales,60877.01504,95,1,Other,53085.31717,49,0,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,36
Sales,60877.01504,14,1,Sales,47142.92286,28,1,Sales,47142.92286,5,1,HR,51182.90816,18,0,3,1,4,16.25
Sales,60877.01504,26,1,Engineering,81584.97869,12,0,Engineering,81584.97869,149,1,Unemployed,0,0,0,3,3,3,46.75
Sales,60877.01504,1,1,Management,79819.50204,12,1,Sales,47142.92286,103,1,Sales,71366.9,25,1,3,3,4,35.25
Sales,60877.01504,10,1,Marketing,59207.5,10,1,Service,37263.83653,8,1,Sales,60877.01504,16,0,3,3,4,11
Sales,60877.01504,7,1,Operations,85551.22727,9,1,Operations,69434.83383,14,1,Marketing,50436.77654,13,1,3,3,4,10.75
Sales,60877.01504,22,1,IT,40650.81818,13,1,Management,79819.50204,48,1,HR,51182.90816,7,1,3,1,4,22.5
Sales,60877.01504,5,1,Sales,47142.92286,42,1,Sales,47142.92286,188,0,Sales,47142.92286,38,1,3,3,4,68.25
Sales,60877.01504,16,1,Sales,47142.92286,17,1,Other,53085.31717,14,1,Unemployed,0,0,0,3,3,3,11.75
Sales,60877.01504,169,1,Sales,60877.01504,95,1,Sales,47142.92286,57,0,Sales,47142.92286,156,0,3,3,4,119.25
Sales,60877.01504,1,1,HR,51182.90816,5,0,HR,51182.90816,11,0,Other,46550,20,0,3,3,4,9.25
Sales,42495,10,1,Sales,47142.92286,9,1,IT,69783.6369,27,0,IT,69783.6369,54,0,3,3,4,25
Finance,60991.45474,7,1,HR,51182.90816,23,1,Sales,47142.92286,81,1,Management,79819.50204,60,1,3,3,4,42.75
Sales,64078.04,31,1,Admin,51794.60833,23,1,Admin,51794.60833,16,1,Management,79819.50204,21,1,2,1,4,22.75
Sales,47142.92286,6,1,Sales,42797.85714,22,1,Sales,47142.92286,130,0,Unemployed,0,0,0,3,3,3,39.5
Sales,47142.92286,5,1,HR,51182.90816,13,0,IT,69783.6369,44,0,Engineering,81584.97869,44,0,3,3,4,26.5
Finance,40829.5,13,1,Other,53085.31717,19,1,Service,37263.83653,8,1,Management,40508.28571,3,1,2,1,4,10.75
Finance,40829.5,13,1,Other,53085.31717,19,1,Service,37263.83653,8,1,Management,40508.28571,3,1,2,1,4,10.75
Finance,60991.45474,25,1,Admin,77805.28205,4,1,Other,53085.31717,19,1,Management,60576,97,1,3,3,4,36.25
Finance,60991.45474,8,0,Academia,51511.5,1,1,Academia,63461.28125,13,1,Other,53085.31717,83,1,3,3,4,26.25
Finance,60991.45474,20,1,HR,51182.90816,23,0,HR,51182.90816,13,0,Other,53085.31717,7,0,3,1,4,15.75
Finance,60991.45474,6,0,Management,79819.50204,43,1,Executive,123893.3069,44,0,Executive,123893.3069,80,0,2,3,4,43.25
Finance,60991.45474,5,1,Other,53085.31717,151,0,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,39
HR,51182.90816,2,1,Other,53085.31717,11,1,Academia,63461.28125,2,1,Academia,41346.78947,3,1,3,3,4,4.5
Academia,63461.28125,100,0,Management,79819.50204,114,0,Executive,123893.3069,252,1,Marketing,50436.77654,83,0,3,3,4,137.25
IT,69783.6369,12,1,Engineering,81584.97869,28,0,Consultant,78074.16822,8,0,IT,69783.6369,11,1,2,1,4,14.75
Management,47205.5,24,0,Management,47205.5,5,1,IT,69783.6369,3,1,Unemployed,0,0,0,3,3,3,8
IT,69783.6369,16,1,Other,53085.31717,47,1,Management,79819.50204,3,0,Academia,42492.8,2,1,2,1,4,17
IT,69783.6369,16,1,Other,53085.31717,47,1,Management,79819.50204,3,0,Academia,42492.8,2,1,2,1,4,17
Academia,43191.11111,10,1,Sales,47142.92286,18,0,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,7
Academia,43191.11111,231,0,Service,32980.11111,215,0,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,111.5
Academia,43191.11111,123,1,HR,51182.90816,5,1,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,32
Academia,43191.11111,9,1,Other,53085.31717,19,1,Other,53085.31717,4,1,Other,28500,4,1,3,3,4,9
Academia,43191.11111,10,1,HR,44609.36364,66,1,HR,51182.90816,27,1,HR,51182.90816,38,1,3,3,4,35.25
Academia,43191.11111,17,0,Admin,51794.60833,1,1,IT,69783.6369,1,1,Admin,63863.75,11,1,3,3,4,7.5
Admin,51794.60833,3,1,Finance,70319,11,0,Academia,63461.28125,2,0,Unemployed,0,0,0,3,3,3,4
Admin,51794.60833,24,1,Other,53085.31717,25,1,Government,78213.325,116,1,Management,79819.50204,81,0,2,1,4,61.5
Admin,51794.60833,20,1,Other,53085.31717,21,1,Executive,123893.3069,11,0,Executive,123893.3069,40,1,2,1,4,23
Other,53085.31717,24,1,Sales,47142.92286,16,1,Management,79819.50204,233,1,Other,33946.66667,3,1,3,3,4,69
Admin,51794.60833,27,1,Other,53085.31717,6,1,Service,37263.83653,9,0,Finance,60991.45474,26,0,3,3,4,17
Admin,118277.6667,5,0,Management,79819.50204,79,1,Other,53085.31717,33,1,Unemployed,0,0,0,1,1,3,29.25
Other,118277.6667,122,1,Other,53085.31717,128,0,Executive,123893.3069,128,0,Academia,63461.28125,15,0,1,1,4,98.25
Academia,63461.28125,17,1,IT,80035.5,18,1,IT,69783.6369,6,0,IT,69783.6369,7,0,3,3,4,12
Government,78213.325,15,0,Government,78213.325,36,1,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,12.75
Government,78213.325,15,0,Government,78213.325,36,1,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,12.75
Government,78213.325,24,1,Other,53085.31717,55,1,Admin,51794.60833,10,0,IT,69783.6369,4,0,2,1,4,23.25
Government,78213.325,24,1,Other,53085.31717,55,1,Admin,51794.60833,10,0,IT,69783.6369,4,0,2,1,4,23.25
Other,53085.31717,17,1,Admin,51794.60833,17,1,Management,79819.50204,40,1,Other,53085.31717,76,1,2,1,4,37.5
Marketing,50436.77654,37,1,Management,79819.50204,13,1,HR,51182.90816,11,1,Other,53085.31717,11,0,3,3,4,18
IT,69783.6369,14,1,HR,51182.90816,3,1,HR,51182.90816,98,0,Operations,82979.71429,32,0,3,3,4,36.75
IT,69783.6369,16,0,Management,107588,47,1,Other,53085.31717,16,1,Other,53085.31717,9,1,3,3,4,22
Service,37263.83653,7,1,Management,134709.3514,17,1,Executive,123893.3069,64,1,Other,53085.31717,73,0,3,1,4,40.25
Service,37263.83653,43,0,Unemployed,0,10,0,Other,53085.31717,6,1,Other,53085.31717,6,1,3,3,4,16.25
IT,69783.6369,19,1,IT,69783.6369,1,1,Unemployed,0,0,0,Unemployed,0,0,0,2,3,2,5
IT,69783.6369,17,1,IT,80035.5,34,1,IT,69783.6369,20,1,Executive,123893.3069,23,1,1,1,4,23.5
IT,69783.6369,18,1,Unemployed,0,6,0,Other,53085.31717,6,0,Academia,41346.78947,15,0,2,1,4,11.25
IT,69783.6369,35,1,IT,69783.6369,3,1,Other,53085.31717,44,0,Academia,63461.28125,4,1,3,1,4,21.5
IT,69783.6369,9,1,IT,69783.6369,13,1,IT,69783.6369,15,1,Academia,41346.78947,54,1,3,1,4,22.75
IT,69783.6369,22,1,Other,53085.31717,46,1,HR,51182.90816,36,1,HR,51182.90816,3,1,2,1,4,26.75
IT,65640.65278,157,0,IT,69783.6369,77,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,2,58.5
IT,65640.65278,11,1,Admin,77805.28205,3,1,Sales,47142.92286,11,1,Unemployed,0,0,0,3,3,3,6.25
Finance,65640.65278,91,1,Finance,60991.45474,3,0,Service,37263.83653,82,1,Finance,60991.45474,16,0,3,3,4,48
Finance,65640.65278,1,1,Academia,63461.28125,10,0,Other,53085.31717,7,0,Unemployed,0,15,1,3,3,4,8.25
IT,65640.65278,19,1,Sales,47142.92286,11,1,Finance,60991.45474,3,1,Finance,60991.45474,3,1,3,3,4,9
IT,65640.65278,1,0,IT,69783.6369,7,1,Admin,51794.60833,1,1,Other,53085.31717,4,0,3,3,4,3.25
Finance,65640.65278,33,1,Finance,60991.45474,15,1,IT,69783.6369,10,0,Finance,60991.45474,47,0,3,3,4,26.25
Marketing,65640.65278,79,0,Management,79819.50204,43,0,Management,79819.50204,41,0,Management,79819.50204,15,0,3,3,4,44.5
IT,65640.65278,11,1,IT,72056.13043,23,0,IT,69783.6369,53,1,IT,69783.6369,5,1,3,1,4,23
Finance,65640.65278,26,1,Finance,60991.45474,30,1,IT,69783.6369,3,0,Academia,42492.8,9,0,3,3,4,17
IT,65640.65278,16,1,Admin,51802.85714,18,1,IT,69783.6369,27,0,Executive,123893.3069,23,1,3,3,4,21
IT,65640.65278,224,0,Finance,65640.65278,236,0,Other,53085.31717,28,0,Other,53085.31717,52,0,3,3,4,135
IT,65640.65278,20,1,Management,40508.28571,8,0,Service,37263.83653,51,0,Engineering,80827.275,18,0,3,3,4,24.25
Finance,65640.65278,12,1,Finance,60991.45474,3,1,Unemployed,0,3,1,Unemployed,0,0,0,3,3,3,4.5
Finance,65640.65278,7,1,Management,79819.50204,124,1,Other,53085.31717,40,1,Admin,51794.60833,28,1,3,3,4,49.75
Finance,60991.45474,3,1,IT,69783.6369,16,1,IT,69783.6369,3,1,Unemployed,0,0,1,3,2,3,5.5
Finance,60991.45474,3,1,IT,69783.6369,12,1,IT,69783.6369,4,1,Other,53085.31717,19,1,2,3,4,9.5
Finance,60991.45474,6,1,Marketing,50436.77654,5,1,IT,69783.6369,37,1,Marketing,50436.77654,21,0,2,3,4,17.25
IT,69783.6369,10,1,IT,69783.6369,6,0,Other,53085.31717,5,0,Finance,60991.45474,46,0,3,3,4,16.75
IT,63084.5,13,1,Service,27222.22222,2,1,Admin,51794.60833,4,1,Other,36733.33333,3,1,3,3,4,5.5
IT,69783.6369,11,1,Engineering,81584.97869,15,1,Service,37263.83653,11,1,Unemployed,0,0,0,3,3,3,9.25
IT,69783.6369,3,1,IT,69783.6369,85,0,Finance,60991.45474,138,0,Unemployed,0,0,0,1,1,3,56.5
IT,69783.6369,3,1,IT,69783.6369,85,0,Finance,60991.45474,138,0,Unemployed,0,0,0,1,1,3,56.5
IT,69783.6369,68,0,Finance,60991.45474,119,1,IT,69783.6369,65,0,Unemployed,0,0,0,3,3,3,63
It,69783.6369,7,1,Admin,51794.60833,59,1,Service,37263.83653,9,0,Service,37263.83653,41,0,3,3,4,29
It,120794,39,1,IT,80035.5,3,1,IT,69783.6369,16,1,IT,80035.5,8,1,3,2,4,16.5
It,120794,20,1,IT,69783.6369,3,1,Academia,63461.28125,12,1,IT,69783.6369,2,0,2,1,4,9.25
IT,69783.6369,1,1,Service,37263.83653,5,1,Other,53085.31717,6,1,Other,53085.31717,2,0,3,3,4,3.5
IT,69783.6369,9,1,Other,53085.31717,56,1,Other,53085.31717,9,1,Other,53085.31717,19,0,2,3,4,23.25
IT,69783.6369,15,1,IT,69783.6369,17,1,IT,69783.6369,39,1,IT,69783.6369,80,1,3,3,4,37.75
IT,69783.6369,1,1,IT,69783.6369,104,1,IT,69783.6369,6,0,Other,53085.31717,3,1,1,1,4,28.5
IT,69783.6369,80,0,Other,53085.31717,57,0,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,34.25
It,69783.6369,5,1,Sales,47142.92286,25,1,Management,79819.50204,18,1,Sales,47142.92286,34,0,2,1,4,20.5
Management,79819.50204,2,1,Other,86634,79,1,IT,69783.6369,9,0,IT,69783.6369,16,0,3,3,4,26.5
IT,69783.6369,24,1,Management,79819.50204,87,1,Management,79819.50204,18,0,Management,79819.50204,23,0,3,3,4,38
IT,69783.6369,1,1,IT,108603,13,0,IT,69783.6369,23,1,Academia,42492.8,15,1,2,1,4,13
Entertainment,65068.78947,140,1,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,2,1,1,35
Sales,47142.92286,70,0,Admin,51794.60833,10,0,Management,79819.50204,6,0,Service,30400,9,0,3,3,4,23.75
Other,76050,20,1,Other,53085.31717,27,0,Other,53085.31717,12,0,Service,77900,73,0,1,1,4,33
Other,76050,20,1,Other,53085.31717,27,0,Other,53085.31717,12,0,Service,77900,73,0,1,1,4,33
Finance,60991.45474,7,1,Other,53085.31717,17,1,Service,37263.83653,64,1,Other,53085.31717,52,1,3,3,4,35
Admin,52052,82,0,Admin,51794.60833,58,0,Other,53085.31717,10,0,Admin,51794.60833,9,0,3,3,4,39.75
Unemployed,52052,6,1,Academia,41346.78947,34,0,Admin,51794.60833,1,0,Other,53085.31717,1,0,3,3,4,10.5
Admin,52052,29,1,IT,69783.6369,64,1,Other,53085.31717,68,0,Management,47541.25,7,1,3,3,4,42
Marketing,70334.75,8,0,Management,79819.50204,30,0,Marketing,50436.77654,25,0,Other,53085.31717,150,0,3,3,4,53.25
Marketing,70334.75,11,1,Marketing,50436.77654,28,1,HR,51182.90816,3,1,Admin,51794.60833,43,0,3,3,4,21.25
Finance,60991.45474,23,1,IT,69783.6369,14,0,IT,69783.6369,17,0,Consultant,78074.16822,33,0,3,3,4,21.75
Admin,51794.60833,23,1,Other,28500,5,1,Finance,60991.45474,10,0,Management,70428.41667,9,1,3,3,4,11.75
Admin,51794.60833,23,1,Other,28500,5,1,Finance,60991.45474,10,0,Management,70428.41667,9,1,3,3,4,11.75
Government,78213.325,7,1,Management,79819.50204,106,1,Executive,123893.3069,97,1,Executive,116258.75,185,1,1,1,4,98.75
Government,78213.325,85,1,Executive,123893.3069,32,0,Management,79819.50204,49,1,Management,79819.50204,142,0,1,1,4,77
Government,78213.325,85,1,Executive,123893.3069,32,0,Management,79819.50204,49,1,Management,79819.50204,142,0,1,1,4,77
Admin,82063.5,15,1,Admin,55518.5,15,1,Admin,51794.60833,17,1,Admin,51794.60833,17,1,3,3,4,16
Admin,110000,11,0,Other,53085.31717,5,0,Other,53085.31717,17,1,Admin,110000,15,0,3,3,4,12
Management,48327.33333,8,1,Management,79819.50204,19,1,Management,79819.50204,12,0,Management,47541.25,25,0,3,3,4,16
Management,48327.33333,36,1,Service,37263.83653,18,1,Unemployed,0,3,1,Other,53085.31717,27,0,2,1,4,21
Management,79819.50204,61,1,Other,53085.31717,62,1,Academia,63461.28125,154,1,Academia,63461.28125,96,1,3,3,4,93.25
Management,40508.28571,71,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,17.75
Management,40508.28571,71,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,17.75
Management,40508.28571,212,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,53
Management,40508.28571,29,1,Service,37263.83653,233,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,2,65.5
Management,40508.28571,5,0,Service,37263.83653,30,1,Other,53085.31717,32,0,Unemployed,0,0,0,3,3,3,16.75
Management,40508.28571,39,1,Unemployed,0,64,0,Management,79819.50204,180,1,Unemployed,0,0,0,3,3,3,70.75
Management,40508.28571,18,0,Management,79819.50204,30,1,Management,79819.50204,6,1,Management,89985.33333,100,1,0,1,4,38.5
Management,40508.28571,19,1,Service,37263.83653,16,1,Sales,47142.92286,6,0,Management,65055,5,0,3,3,4,11.5
Management,40508.28571,55,1,Consultant,78074.16822,62,0,Executive,123893.3069,145,0,Other,53085.31717,134,0,3,3,4,99
Management,40508.28571,2,0,Service,37263.83653,1,1,Service,37263.83653,35,1,Service,45085.5,24,1,3,3,4,15.5
Management,40508.28571,10,1,Management,79819.50204,33,1,Management,79819.50204,18,1,Finance,60991.45474,27,1,3,3,4,22
Management,40508.28571,19,0,Engineering,93658.74634,68,0,IT,69783.6369,86,0,IT,69783.6369,18,0,3,3,4,47.75
Management,40508.28571,14,1,Other,53085.31717,22,1,Finance,60991.45474,34,1,Service,37263.83653,24,1,3,3,4,23.5
Management,40508.28571,5,1,Management,40508.28571,5,1,Management,79819.50204,7,1,Marketing,50436.77654,24,0,3,3,4,10.25
Management,40508.28571,8,1,IT,69783.6369,14,1,Management,79819.50204,10,0,Management,79819.50204,24,0,3,3,4,14
Management,40508.28571,46,1,Admin,51794.60833,63,0,Unemployed,0,72,0,Unemployed,0,14,0,3,3,4,48.75
Management,40508.28571,12,0,Service,39590.68519,8,0,Operations,69434.83383,13,0,Unemployed,0,0,0,3,3,3,8.25
Management,40508.28571,26,1,Executive,123893.3069,4,1,Other,53085.31717,3,1,Finance,60991.45474,4,1,3,3,4,9.25
Management,40508.28571,34,0,Other,53085.31717,47,0,Other,53085.31717,12,1,Management,79819.50204,1,0,3,3,4,23.5
Management,40508.28571,144,0,Management,40508.28571,63,1,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,51.75
Management,40508.28571,13,1,IT,69783.6369,2,1,Academia,63461.28125,7,0,Engineering,81584.97869,6,1,3,3,4,7
Management,40508.28571,11,1,Management,69720.57143,15,1,IT,69783.6369,13,0,IT,69783.6369,33,0,2,3,4,18
Management,40508.28571,10,1,Other,53085.31717,11,0,Unemployed,0,3,0,Unemployed,31033.33333,9,0,3,3,4,8.25
Management,40508.28571,67,1,Management,40508.28571,68,0,Management,79819.50204,4,1,Unemployed,0,3,1,3,3,4,35.5
Management,79819.50204,9,1,Marketing,59207.5,19,0,IT,69783.6369,41,1,Management,133681,7,0,3,3,4,19
Management,79819.50204,229,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,57.25
Management,79819.50204,20,1,IT,69783.6369,12,1,Management,79819.50204,11,1,Management,79819.50204,9,1,3,3,4,13
Management,79819.50204,2,0,IT,69783.6369,10,0,HR,51182.90816,3,1,Other,53085.31717,16,1,3,3,4,7.75
Management,87338,37,0,IT,69783.6369,17,0,Consultant,78074.16822,10,0,Other,53085.31717,2,0,3,3,4,16.5
Management,79819.50204,3,1,Service,37263.83653,12,1,Other,53085.31717,3,1,Other,53085.31717,7,1,3,3,4,6.25
Management,79819.50204,33,0,Other,53085.31717,30,0,HR,51182.90816,18,0,Admin,63863.75,84,0,1,1,4,41.25
Management,79819.50204,33,0,Other,53085.31717,30,0,HR,51182.90816,18,0,Admin,63863.75,84,0,1,1,4,41.25
Management,55486.66667,29,0,Operations,57452.57447,45,1,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,18.5
Management,55486.66667,37,0,Other,53085.31717,5,0,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,10.5
Management,79819.50204,8,0,Sales,47142.92286,19,0,Sales,47142.92286,8,0,Service,37263.83653,31,0,3,3,4,16.5
Management,79819.50204,48,0,Management,79819.50204,23,0,Management,79819.50204,24,0,Academia,63461.28125,84,0,3,3,4,44.75
Management,79819.50204,22,1,Other,53085.31717,32,1,Other,53085.31717,46,1,Executive,116258.75,24,0,2,1,4,31
Management,79819.50204,22,1,Other,53085.31717,32,1,Other,53085.31717,46,1,Executive,116258.75,24,0,2,1,4,31
Management,79819.50204,35,1,Management,65887,17,1,Other,53085.31717,47,1,IT,69783.6369,32,1,3,3,4,32.75
Admin,51794.60833,40,1,Admin,51794.60833,65,0,Admin,51794.60833,32,1,Admin,51802.85714,62,1,3,3,4,49.75
Marketing,50436.77654,13,1,Sales,47142.92286,19,1,Sales,47142.92286,19,1,Sales,47142.92286,46,1,1,2,4,24.25
Executive,123893.3069,5,1,Management,79819.50204,62,1,Management,79819.50204,46,1,Other,53085.31717,177,0,3,3,4,72.5
Operations,69434.83383,8,1,Operations,38000,15,1,Service,37263.83653,71,0,Service,37263.83653,7,1,3,3,4,25.25
Sales,47142.92286,2,1,Finance,60991.45474,12,1,IT,69783.6369,42,1,IT,69783.6369,8,0,2,1,4,16
Academia,63461.28125,31,1,Management,70428.41667,17,0,Other,53085.31717,20,0,Executive,48969,19,0,2,1,4,21.75
Academia,63461.28125,31,1,Management,70428.41667,17,0,Other,53085.31717,20,0,Executive,48969,19,0,2,1,4,21.75
Admin,77805.28205,27,1,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,1,1,1,6.75
Admin,77805.28205,23,1,Executive,123893.3069,12,1,Other,53085.31717,2,1,Finance,60991.45474,3,1,3,3,4,10
Admin,77805.28205,3,1,Admin,34866.18182,4,1,Management,79819.50204,5,0,Marketing,50436.77654,1,0,3,3,4,3.25
Admin,77805.28205,4,0,Academia,63461.28125,3,1,Engineering,81584.97869,8,0,Other,53085.31717,24,0,3,3,4,9.75
Admin,77805.28205,2,1,Sales,41147.2,20,1,Finance,60991.45474,4,1,Other,28500,41,1,3,3,4,16.75
Finance,77805.28205,1,1,Finance,60991.45474,12,0,Finance,60991.45474,22,1,Finance,60991.45474,3,1,3,3,4,9.5
Admin,77805.28205,22,1,IT,40650.81818,11,1,HR,51182.90816,3,1,HR,51182.90816,7,0,3,3,4,10.75
Finance,77805.28205,13,1,Finance,60991.45474,10,1,HR,51182.90816,20,1,Executive,123893.3069,39,1,3,3,4,20.5
Admin,77805.28205,34,1,Unemployed,57313,11,1,Consultant,78074.16822,78,1,Unemployed,42750,2,1,3,3,4,31.25
Admin,77805.28205,1,1,Finance,60991.45474,17,1,Finance,60991.45474,14,1,Finance,60991.45474,35,1,3,3,4,16.75
Admin,77805.28205,34,1,Finance,85474.2,26,1,Management,79819.50204,18,1,Finance,60991.45474,3,1,3,3,4,20.25
Admin,77805.28205,9,1,IT,69783.6369,9,0,Other,53085.31717,1,0,Unemployed,0,0,0,3,3,3,4.75
Admin,77805.28205,58,1,Other,63921,12,1,Other,53085.31717,11,1,Unemployed,0,3,1,2,1,4,21
Admin,77805.28205,58,1,Other,63921,12,1,Other,53085.31717,11,1,Unemployed,0,3,1,2,1,4,21
Admin,77805.28205,3,0,Unemployed,57313,12,1,Academia,63461.28125,2,1,Unemployed,0,3,1,3,3,4,5
Admin,77805.28205,24,1,Unemployed,0,13,1,Academia,63461.28125,31,0,Unemployed,42750,4,1,3,3,4,18
Admin,77805.28205,17,1,Executive,123893.3069,12,1,Other,53085.31717,9,1,Unemployed,0,12,1,3,3,4,12.5
Admin,77805.28205,25,1,Admin,77805.28205,33,1,Other,53085.31717,16,1,Unemployed,0,10,1,3,3,4,21
Admin,77805.28205,62,1,Finance,63856.66667,50,1,Academia,63461.28125,6,1,Other,27222.22222,90,1,3,3,4,52
Admin,77805.28205,19,1,Finance,116268,8,1,HR,51182.90816,1,0,Other,53085.31717,4,0,3,3,4,8
Finance,77805.28205,6,0,Finance,60991.45474,14,1,Finance,60991.45474,10,1,Executive,123893.3069,23,1,3,3,4,13.25
Admin,77805.28205,37,0,Academia,41346.78947,8,0,Unemployed,0,0,0,Unemployed,0,0,0,3,3,2,11.25
Admin,77805.28205,1,1,Management,79819.50204,5,1,Operations,69434.83383,24,1,Other,53085.31717,12,1,3,3,4,10.5
Finance,77805.28205,6,0,Consultant,86307.45545,29,1,Executive,123893.3069,11,1,Other,53085.31717,22,1,3,3,4,17
Admin,77805.28205,4,0,Other,53085.31717,9,1,Other,53085.31717,3,1,Unemployed,0,0,0,3,3,3,4
Admin,77805.28205,9,1,Operations,69434.83383,21,0,Management,79819.50204,16,0,Consultant,119559.5,44,0,3,3,4,22.5
Admin,77805.28205,13,1,Admin,77805.28205,23,1,Unemployed,0,14,1,Other,53085.31717,3,0,3,3,4,13.25
