Cat1,AvgS1,M1,Co1,Cat2,AvgS2,M2,Co2,Cat3,AvgS3,M3,Co3,Cat4,AvgS4,M4,Co4,Cat5,AvgS5,M5,Co5,NumDeg,NumCertf,numJobs,AverageMonths
Sales,47142.92286,22,1,IT,69783.6369,13,1,Management,79819.50204,48,1,HR,51182.90816,7,1,HR,51182.90816,3,1,3,1,5,18.6
Sales,47142.92286,16,1,Sales,47142.92286,17,1,Other,53085.31717,14,1,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,11.8
Sales,47142.92286,10,1,Marketing,50436.77654,10,1,Service,37263.83653,8,1,Sales,47142.92286,16,0,Marketing,50436.77654,21,0,3,3,5,13
Sales,47142.92286,7,1,Operations,69434.83383,9,1,Operations,69434.83383,14,1,Marketing,50436.77654,13,1,Management,79819.50204,19,0,3,3,5,12.4
Sales,47142.92286,5,1,Sales,47142.92286,42,1,Sales,47142.92286,188,0,Sales,47142.92286,38,1,Other,53085.31717,6,0,3,3,5,55.8
Sales,47142.92286,1,1,HR,51182.90816,5,0,HR,51182.90816,11,0,Other,53085.31717,20,0,Other,53085.31717,44,0,3,3,5,16.2
Sales,47142.92286,1,1,Management,79819.50204,12,1,Sales,47142.92286,103,1,Sales,47142.92286,25,1,Management,79819.50204,44,0,3,3,5,37
Sales,47142.92286,14,1,Sales,47142.92286,28,1,Sales,47142.92286,5,1,HR,51182.90816,18,0,Sales,47142.92286,6,1,3,1,5,14.2
Sales,47142.92286,169,1,Sales,47142.92286,95,1,Sales,47142.92286,57,0,Sales,47142.92286,156,0,Sales,47142.92286,257,0,3,3,5,146.8
Sales,47142.92286,95,1,Other,53085.31717,49,0,Unemployed,0,0,0,Unemployed,0,0,0,Other,53085.31717,6,0,1,1,3,30
Sales,47142.92286,95,1,Other,53085.31717,49,0,Unemployed,0,0,0,Unemployed,0,0,0,Other,53085.31717,6,0,1,1,3,30
Sales,47142.92286,10,1,Sales,47142.92286,9,1,IT,69783.6369,27,0,IT,69783.6369,54,0,Other,53085.31717,6,0,3,3,5,21.2
Sales,47142.92286,31,1,Admin,51794.60833,23,1,Admin,51794.60833,16,1,Management,79819.50204,21,1,Other,53085.31717,6,1,2,1,5,19.4
Sales,47142.92286,6,1,Sales,47142.92286,22,1,Sales,47142.92286,130,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,34
Sales,47142.92286,5,1,HR,51182.90816,13,0,IT,69783.6369,44,0,Engineering,81584.97869,44,0,Unemployed,0,3,0,3,3,5,21.8
Finance,60991.45474,13,1,Other,53085.31717,19,1,Service,37263.83653,8,1,Management,79819.50204,3,1,Unemployed,0,0,0,2,1,4,8.6
Finance,60991.45474,13,1,Other,53085.31717,19,1,Service,37263.83653,8,1,Management,79819.50204,3,1,Unemployed,0,0,0,2,1,4,8.6
Finance,60991.45474,25,1,Admin,51794.60833,4,1,Other,53085.31717,19,1,Management,79819.50204,97,1,Finance,60991.45474,83,1,3,3,5,45.6
Finance,60991.45474,8,0,Academia,63461.28125,1,1,Academia,63461.28125,13,1,Other,53085.31717,83,1,Academia,63461.28125,2,1,3,3,5,21.4
Finance,60991.45474,20,1,Unemployed,0,23,0,Unemployed,0,13,0,Other,53085.31717,7,0,IT,69783.6369,4,0,3,1,5,13.4
Finance,60991.45474,6,0,Management,79819.50204,43,1,Executive,123893.3069,44,0,Executive,123893.3069,80,0,Other,53085.31717,6,0,2,3,5,35.8
Finance,60991.45474,5,1,Other,53085.31717,151,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,31.2
HR,51182.90816,2,1,Other,53085.31717,11,1,Academia,63461.28125,2,1,Academia,63461.28125,3,1,Academia,63461.28125,3,0,3,3,5,4.2
Academia,63461.28125,100,0,Management,79819.50204,114,0,Executive,123893.3069,252,1,Marketing,50436.77654,83,0,Other,53085.31717,6,0,3,3,5,111
IT,69783.6369,12,1,Unemployed,0,28,0,Unemployed,0,8,0,IT,69783.6369,11,1,Unemployed,0,23,0,2,1,5,16.4
Management,79819.50204,24,0,Management,79819.50204,5,1,IT,69783.6369,3,1,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,8.8
IT,69783.6369,16,1,Other,53085.31717,47,1,Management,79819.50204,3,0,Academia,63461.28125,2,1,Other,53085.31717,6,0,2,1,5,14.8
IT,69783.6369,16,1,Other,53085.31717,47,1,Management,79819.50204,3,0,Academia,63461.28125,2,1,Other,53085.31717,6,0,2,1,5,14.8
Academia,63461.28125,231,0,Service,37263.83653,215,0,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,92.8
Academia,63461.28125,123,1,HR,51182.90816,5,1,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,29.2
Academia,63461.28125,17,0,Admin,51794.60833,1,1,IT,69783.6369,1,1,Admin,51794.60833,11,1,Admin,51794.60833,1,1,3,3,5,6.2
Academia,63461.28125,10,1,Sales,47142.92286,18,0,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,9.2
Academia,63461.28125,10,1,HR,51182.90816,66,1,HR,51182.90816,27,1,HR,51182.90816,38,1,HR,51182.90816,26,1,3,3,5,33.4
Academia,63461.28125,9,1,Other,53085.31717,19,1,Other,53085.31717,4,1,Other,53085.31717,4,1,Other,53085.31717,3,1,3,3,5,7.8
Admin,51794.60833,3,1,Finance,60991.45474,11,0,Academia,63461.28125,2,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,5.6
Admin,51794.60833,24,1,Other,53085.31717,25,1,Government,78213.325,116,1,Management,79819.50204,81,0,Other,53085.31717,6,1,2,1,5,50.4
Admin,51794.60833,20,1,Other,53085.31717,21,1,Executive,123893.3069,11,0,Executive,123893.3069,40,1,Unemployed,0,6,1,2,1,5,19.6
Other,53085.31717,24,1,Sales,47142.92286,16,1,Management,79819.50204,233,1,Other,53085.31717,3,1,Academia,63461.28125,21,1,3,3,5,59.4
Admin,51794.60833,27,1,Other,53085.31717,6,1,Service,37263.83653,9,0,Finance,60991.45474,26,0,IT,69783.6369,32,1,3,3,5,20
Admin,51794.60833,5,0,Management,79819.50204,79,1,Other,53085.31717,33,1,Unemployed,0,0,0,Other,53085.31717,6,0,1,1,4,24.6
Academia,63461.28125,17,1,IT,69783.6369,18,1,IT,69783.6369,6,0,IT,69783.6369,7,0,IT,69783.6369,11,0,3,3,5,11.8
Other,53085.31717,17,1,Admin,51794.60833,17,1,Management,79819.50204,40,1,Other,53085.31717,76,1,Other,53085.31717,6,0,2,1,5,31.2
IT,69783.6369,14,1,HR,51182.90816,3,1,HR,51182.90816,98,0,Operations,69434.83383,32,0,Other,53085.31717,6,0,3,3,5,30.6
IT,69783.6369,16,0,Management,79819.50204,47,1,Other,53085.31717,16,1,Other,53085.31717,9,1,Operations,69434.83383,41,0,3,3,5,25.8
Service,37263.83653,3,1,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,5.4
Service,37263.83653,7,1,Management,79819.50204,17,1,Executive,123893.3069,64,1,Other,53085.31717,73,0,Executive,123893.3069,36,1,3,1,5,39.4
Service,37263.83653,43,0,Unemployed,0,10,0,Unemployed,0,0,1,Other,53085.31717,6,1,IT,69783.6369,29,1,3,3,4,17.6
IT,69783.6369,19,1,IT,69783.6369,1,1,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,2,3,2,4
IT,69783.6369,17,1,IT,69783.6369,34,1,IT,69783.6369,20,1,Executive,123893.3069,23,1,Unemployed,0,0,0,1,1,4,18.8
IT,69783.6369,18,1,Unemployed,0,6,0,Other,53085.31717,6,0,Academia,63461.28125,15,0,Unemployed,0,0,0,2,1,4,9
IT,69783.6369,35,1,IT,69783.6369,3,1,Other,53085.31717,44,0,Unemployed,0,4,1,Unemployed,0,0,0,3,1,4,17.2
IT,69783.6369,22,1,Other,53085.31717,46,1,HR,51182.90816,36,1,HR,51182.90816,3,1,Other,53085.31717,5,1,2,1,5,22.4
Marketing,50436.77654,79,0,Management,79819.50204,43,0,Management,79819.50204,41,0,Management,79819.50204,15,0,Management,79819.50204,24,0,3,3,5,40.4
IT,69783.6369,224,0,Finance,60991.45474,236,0,Other,53085.31717,28,0,Other,53085.31717,52,0,Finance,60991.45474,89,0,3,3,5,125.8
IT,69783.6369,157,0,IT,69783.6369,77,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,2,46.8
IT,69783.6369,20,1,Management,79819.50204,8,0,Service,37263.83653,51,0,Engineering,81584.97869,18,0,IT,69783.6369,53,0,3,3,5,30
IT,69783.6369,19,1,Sales,47142.92286,11,1,Finance,60991.45474,3,1,Finance,60991.45474,3,1,Finance,60991.45474,3,1,3,3,5,7.8
IT,69783.6369,16,1,Admin,51794.60833,18,1,IT,69783.6369,27,0,Executive,123893.3069,23,1,Marketing,50436.77654,36,0,3,3,5,24
IT,69783.6369,11,1,Admin,51794.60833,3,1,Unemployed,0,11,1,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,7.4
IT,69783.6369,11,1,IT,69783.6369,23,0,IT,69783.6369,53,1,IT,69783.6369,5,1,IT,69783.6369,44,1,3,1,5,27.2
IT,69783.6369,1,0,IT,69783.6369,7,1,Admin,51794.60833,1,1,Other,53085.31717,4,0,Other,53085.31717,6,0,3,3,5,3.8
Finance,60991.45474,26,1,Finance,60991.45474,30,1,IT,69783.6369,3,0,Academia,63461.28125,9,0,Academia,63461.28125,4,0,3,3,5,14.4
Finance,60991.45474,15,0,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,7.8
Finance,60991.45474,33,1,Finance,60991.45474,15,1,IT,69783.6369,10,0,Finance,60991.45474,47,0,Unemployed,0,1,0,3,3,5,21.2
Finance,60991.45474,12,1,Finance,60991.45474,3,1,Unemployed,0,3,1,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,6
Finance,60991.45474,1,1,Academia,63461.28125,10,0,Other,53085.31717,7,0,Unemployed,0,15,1,Unemployed,0,3,1,3,3,5,7.2
Finance,60991.45474,7,1,Unemployed,0,124,1,Unemployed,0,40,1,Unemployed,0,28,1,Unemployed,0,29,1,3,3,5,45.6
Finance,60991.45474,3,1,Unemployed,0,16,1,Unemployed,0,3,1,Unemployed,0,0,1,Unemployed,0,6,1,3,2,4,5.6
Finance,60991.45474,3,1,IT,69783.6369,12,1,IT,69783.6369,4,1,Other,53085.31717,19,1,Unemployed,0,0,0,2,3,4,7.6
IT,69783.6369,23,1,Unemployed,0,13,0,Unemployed,0,14,0,Unemployed,0,4,1,IT,69783.6369,4,0,3,3,5,11.6
Finance,60991.45474,6,1,Marketing,50436.77654,5,1,Unemployed,0,37,1,Marketing,50436.77654,21,0,Other,53085.31717,4,0,2,3,5,14.6
IT,69783.6369,10,1,IT,69783.6369,6,0,Other,53085.31717,5,0,Finance,60991.45474,46,0,Consultant,78074.16822,12,0,3,3,5,15.8
IT,69783.6369,13,1,Service,37263.83653,2,1,Admin,51794.60833,4,1,Other,53085.31717,3,1,Other,53085.31717,4,1,3,3,5,5.2
IT,69783.6369,11,1,Engineering,81584.97869,15,1,Service,37263.83653,11,1,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,9.8
IT,69783.6369,51,1,Other,53085.31717,5,1,Academia,63461.28125,39,1,Academia,63461.28125,23,1,Academia,63461.28125,31,0,3,3,5,29.8
Finance,60991.45474,62,0,Academia,63461.28125,12,1,IT,69783.6369,2,0,IT,69783.6369,2,1,IT,69783.6369,7,1,3,3,5,17
It,69783.6369,14,1,Finance,60991.45474,10,0,IT,69783.6369,24,0,Finance,60991.45474,23,0,Other,53085.31717,6,0,2,1,5,15.4
It,69783.6369,7,1,Admin,51794.60833,59,1,Service,37263.83653,9,0,Service,37263.83653,41,0,Other,53085.31717,6,0,3,3,5,24.4
It,69783.6369,39,1,IT,69783.6369,3,1,IT,69783.6369,16,1,IT,69783.6369,8,1,Academia,63461.28125,11,0,3,2,5,15.4
It,69783.6369,20,1,IT,69783.6369,3,1,Academia,63461.28125,12,1,IT,69783.6369,2,0,IT,69783.6369,7,0,2,1,5,8.8
IT,69783.6369,1,1,Service,37263.83653,5,1,Other,53085.31717,6,1,Other,53085.31717,2,0,Other,53085.31717,2,0,3,3,5,3.2
IT,69783.6369,274,0,Other,53085.31717,27,0,Other,53085.31717,15,0,IT,69783.6369,23,0,Finance,60991.45474,4,0,3,3,5,68.6
IT,69783.6369,9,1,Other,53085.31717,56,1,Other,53085.31717,9,1,Other,53085.31717,19,0,Other,53085.31717,5,1,2,3,5,19.6
IT,69783.6369,15,1,Unemployed,0,17,1,IT,69783.6369,39,1,IT,69783.6369,80,1,Unemployed,0,24,1,3,3,5,35
IT,69783.6369,1,1,Unemployed,0,104,1,IT,69783.6369,6,0,Other,53085.31717,3,1,Unemployed,0,2,0,1,1,5,23.2
IT,69783.6369,80,0,Other,53085.31717,57,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,1,1,2,27.4
It,69783.6369,5,1,Sales,47142.92286,25,1,Management,79819.50204,18,1,Sales,47142.92286,34,0,Sales,47142.92286,65,1,2,1,5,29.4
Management,79819.50204,2,1,Other,53085.31717,79,1,IT,69783.6369,9,0,IT,69783.6369,16,0,IT,69783.6369,29,1,3,3,5,27
IT,69783.6369,24,1,Management,79819.50204,87,1,Management,79819.50204,18,0,Management,79819.50204,23,0,Management,79819.50204,54,0,3,3,5,41.2
IT,69783.6369,1,1,IT,69783.6369,13,0,IT,69783.6369,23,1,Academia,63461.28125,15,1,Unemployed,0,0,0,2,1,4,10.4
IT,69783.6369,7,1,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,6.2
Entertainment,65068.78947,140,1,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,2,1,1,28
Sales,47142.92286,70,0,Admin,51794.60833,10,0,Management,79819.50204,6,0,Service,37263.83653,9,0,Service,37263.83653,11,0,3,3,5,21.2
Other,53085.31717,20,1,Other,53085.31717,27,0,Other,53085.31717,12,0,Service,37263.83653,73,0,Unemployed,0,0,0,1,1,4,26.4
Other,53085.31717,20,1,Other,53085.31717,27,0,Other,53085.31717,12,0,Service,37263.83653,73,0,Unemployed,0,0,0,1,1,4,26.4
Finance,60991.45474,7,1,Other,53085.31717,17,1,Service,37263.83653,64,1,Other,53085.31717,52,1,Executive,123893.3069,53,1,3,3,5,38.6
Admin,51794.60833,6,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,1.2
Admin,51794.60833,6,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,1.2
Admin,51794.60833,82,0,Admin,51794.60833,58,0,Unemployed,0,10,0,Admin,51794.60833,9,0,Other,53085.31717,6,0,3,3,5,33
Admin,51794.60833,29,1,IT,69783.6369,64,1,Other,53085.31717,68,0,Management,79819.50204,7,1,Other,53085.31717,4,0,3,3,5,34.4
Unemployed,0,6,1,Academia,63461.28125,34,0,Unemployed,0,1,0,Other,53085.31717,1,0,Service,37263.83653,1,0,3,3,5,8.6
Management,79819.50204,8,1,IT,69783.6369,14,1,Management,79819.50204,10,0,Management,79819.50204,24,0,Management,79819.50204,42,0,3,3,5,19.6
Marketing,50436.77654,11,1,Marketing,50436.77654,28,1,HR,51182.90816,3,1,Admin,51794.60833,43,0,Other,53085.31717,6,0,3,3,5,18.2
Marketing,50436.77654,8,0,Management,79819.50204,30,0,Marketing,50436.77654,25,0,Other,53085.31717,150,0,Marketing,50436.77654,11,0,3,3,5,44.8
Finance,60991.45474,23,1,IT,69783.6369,14,0,IT,69783.6369,17,0,Consultant,78074.16822,33,0,Sales,47142.92286,4,0,3,3,5,18.2
Admin,51794.60833,23,1,Other,53085.31717,5,1,Finance,60991.45474,10,0,Management,79819.50204,9,1,Service,37263.83653,15,1,3,3,5,12.4
Admin,51794.60833,23,1,Other,53085.31717,5,1,Finance,60991.45474,10,0,Management,79819.50204,9,1,Service,37263.83653,15,1,3,3,5,12.4
Government,78213.325,7,1,Management,79819.50204,106,1,Executive,123893.3069,97,1,Executive,123893.3069,185,1,Unemployed,0,0,0,1,1,4,79
Government,78213.325,85,1,Executive,123893.3069,32,0,Management,79819.50204,49,1,Management,79819.50204,142,0,Operations,69434.83383,6,0,1,1,5,62.8
Government,78213.325,85,1,Executive,123893.3069,32,0,Management,79819.50204,49,1,Management,79819.50204,142,0,Operations,69434.83383,6,0,1,1,5,62.8
Admin,51794.60833,15,1,Admin,51794.60833,15,1,Admin,51794.60833,17,1,Admin,51794.60833,17,1,Management,79819.50204,6,1,3,3,5,14
Admin,51794.60833,11,0,Other,53085.31717,5,0,Other,53085.31717,17,1,Admin,51794.60833,15,0,Admin,51794.60833,14,0,3,3,5,12.4
Management,79819.50204,6,1,Other,53085.31717,6,1,Sales,47142.92286,28,1,Management,79819.50204,100,1,Academia,63461.28125,6,1,3,3,5,35
Management,79819.50204,36,1,Service,37263.83653,18,1,Unemployed,0,3,1,Other,53085.31717,27,0,Other,53085.31717,6,0,2,1,5,18
Management,79819.50204,8,1,Management,79819.50204,19,1,Management,79819.50204,12,0,Management,79819.50204,25,0,Management,79819.50204,77,0,3,3,5,28.2
Management,79819.50204,61,1,Other,53085.31717,62,1,Academia,63461.28125,154,1,Academia,63461.28125,96,1,Other,53085.31717,6,0,3,3,5,75.8
Management,79819.50204,6,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,1.2
Management,79819.50204,19,1,Service,37263.83653,16,1,Sales,47142.92286,6,0,Management,79819.50204,5,0,Admin,51794.60833,40,0,3,3,5,17.2
Management,79819.50204,144,0,Management,79819.50204,63,1,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,45
Management,79819.50204,71,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,14.2
Management,79819.50204,71,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,14.2
Management,79819.50204,67,1,Management,79819.50204,68,0,Management,79819.50204,4,1,Unemployed,0,3,1,IT,69783.6369,5,1,3,3,5,29.4
Management,79819.50204,55,1,Consultant,78074.16822,62,0,Executive,123893.3069,145,0,Other,53085.31717,134,0,Other,53085.31717,6,0,3,3,5,80.4
Management,79819.50204,46,1,Admin,51794.60833,63,0,Unemployed,0,72,0,Unemployed,0,14,0,Sales,47142.92286,330,0,3,3,5,105
Management,79819.50204,34,0,Other,53085.31717,47,0,Other,53085.31717,12,1,Management,79819.50204,1,0,Operations,69434.83383,6,0,3,3,5,20
Management,79819.50204,29,1,Service,37263.83653,233,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,2,52.4
Management,79819.50204,26,1,Executive,123893.3069,4,1,Other,53085.31717,3,1,Finance,60991.45474,4,1,Finance,60991.45474,20,1,3,3,5,11.4
Management,79819.50204,19,0,Engineering,81584.97869,68,0,IT,69783.6369,86,0,IT,69783.6369,18,0,Other,53085.31717,6,0,3,3,5,39.4
Management,79819.50204,18,0,Management,79819.50204,30,1,Management,79819.50204,6,1,Management,79819.50204,100,1,Unemployed,0,0,0,0,1,4,30.8
Management,79819.50204,14,1,Other,53085.31717,22,1,Finance,60991.45474,34,1,Service,37263.83653,24,1,Other,53085.31717,6,0,3,3,5,20
Management,79819.50204,13,1,IT,69783.6369,2,1,Academia,63461.28125,7,0,Engineering,81584.97869,6,1,Other,53085.31717,10,1,3,3,5,7.6
Management,79819.50204,12,0,Service,37263.83653,8,0,Operations,69434.83383,13,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,9
Management,79819.50204,11,1,Management,79819.50204,15,1,IT,69783.6369,13,0,IT,69783.6369,33,0,Unemployed,0,0,0,2,3,4,14.4
Management,79819.50204,10,1,Management,79819.50204,33,1,Management,79819.50204,18,1,Finance,60991.45474,27,1,Other,53085.31717,3,0,3,3,5,18.2
Management,79819.50204,10,1,Other,53085.31717,11,0,Unemployed,0,3,0,Unemployed,0,9,0,Other,53085.31717,6,0,3,3,5,7.8
Management,79819.50204,5,0,Service,37263.83653,30,1,Unemployed,0,32,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,15.8
Management,79819.50204,5,1,Management,79819.50204,5,1,Management,79819.50204,7,1,Marketing,50436.77654,24,0,Marketing,50436.77654,18,0,3,3,5,11.8
Management,79819.50204,2,0,Service,37263.83653,1,1,Service,37263.83653,35,1,Service,37263.83653,24,1,Admin,51794.60833,7,0,3,3,5,13.8
Management,79819.50204,39,1,Unemployed,0,64,0,Management,79819.50204,180,1,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,59
Management,79819.50204,212,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,42.4
Management,79819.50204,9,1,Marketing,50436.77654,19,0,IT,69783.6369,41,1,Management,79819.50204,7,0,Admin,51794.60833,7,0,3,3,5,16.6
Management,79819.50204,229,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,Unemployed,0,0,0,0,1,1,45.8
Management,79819.50204,20,1,IT,69783.6369,12,1,Management,79819.50204,11,1,Management,79819.50204,9,1,Other,53085.31717,3,1,3,3,5,11
Management,79819.50204,2,0,IT,69783.6369,10,0,HR,51182.90816,3,1,Other,53085.31717,16,1,Other,53085.31717,17,1,3,3,5,9.6
Management,79819.50204,37,0,IT,69783.6369,17,0,Consultant,78074.16822,10,0,Other,53085.31717,2,0,Academia,63461.28125,21,0,3,3,5,17.4
Management,79819.50204,3,1,Service,37263.83653,12,1,Other,53085.31717,3,1,Other,53085.31717,7,1,Other,53085.31717,8,1,3,3,5,6.6
Management,79819.50204,33,0,Other,53085.31717,30,0,HR,51182.90816,18,0,Admin,51794.60833,84,0,Unemployed,0,0,0,1,1,4,33
Management,79819.50204,33,0,Other,53085.31717,30,0,HR,51182.90816,18,0,Admin,51794.60833,84,0,Unemployed,0,0,0,1,1,4,33
Management,79819.50204,37,0,Other,53085.31717,5,0,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,12
Management,79819.50204,29,0,Operations,69434.83383,45,1,Other,53085.31717,6,0,Other,53085.31717,6,0,Other,53085.31717,6,0,3,3,5,18.4
Management,79819.50204,8,0,Sales,47142.92286,19,0,Sales,47142.92286,8,0,Service,37263.83653,31,0,Other,53085.31717,6,0,3,3,5,14.4
Management,79819.50204,48,0,Management,79819.50204,23,0,Management,79819.50204,24,0,Academia,63461.28125,84,0,Executive,123893.3069,30,1,3,3,5,41.8
Management,79819.50204,22,1,Other,53085.31717,32,1,Other,53085.31717,46,1,Executive,123893.3069,24,0,Unemployed,0,0,1,2,1,4,24.8
Management,79819.50204,22,1,Other,53085.31717,32,1,Other,53085.31717,46,1,Executive,123893.3069,24,0,Unemployed,0,0,1,2,1,4,24.8
Management,79819.50204,35,1,Management,79819.50204,17,1,Other,53085.31717,47,1,IT,69783.6369,32,1,Other,53085.31717,6,0,3,3,5,27.4
